driver_id,claim_id,driver_first_name,driver_middle_name,driver_last_name,driver_full_name,driver_mobile,driver_email,driver_gender,driver_gov_id,driver_dob,driver_license_no,relationship_to_insured,is_owner_flag,member_id
DRV-10000,CLM-00001,Advay,,Master,Advay Master,98217711480,advay33@live.com,M,AADHAR-5530-9756-2159,1974-04-04,DL-1687163334,Self,1,MEM-11669
DRV-10001,CLM-00002,Mugdha,Arin,Kari,Mugdha Kari,99425544487,mugdha31@yahoo.com,F,AADHAR-4121-5715-1271,1989-06-14,DL-7261289161,Self,1,MEM-11999
DRV-10002,CLM-00003,Neha,Nandini,Pingle,Neha Pingle,97375409892,neha56@outlook.co.in,F,AADHAR-2756-2568-1088,2001-05-24,DL-4152627135,Self,1,MEM-11570
DRV-10003,CLM-00004,Kavya,Dayita,Kar,Kavya Kar,97386010421,kavya81@live.com,F,VOTER-B618006,1998-08-21,DL-9101533477,Self,1,MEM-13222
DRV-10004,CLM-00005,Ekiya,,Dash,Ekiya Dash,99769613916,ekiya30@hotmail.com,F,VOTER-D339030,1963-10-06,DL-8539381844,Paid Driver,0,
DRV-10005,CLM-00006,Ayaan,Yatin,Murthy,Ayaan Murthy,97067664190,ayaan57@rediffmail.com,M,UID-506110589811,1984-05-02,DL-5983048482,Self,1,MEM-11318
DRV-10006,CLM-00007,Anvi,Abhiram,Handa,Anvi Handa,99980286349,anvi51@hotmail.com,F,VOTER-B110878,1977-05-30,DL-3099326343,Self,1,MEM-13196
DRV-10007,CLM-00008,Victor,Ucchal,Kar,Victor Kar,97256794796,victor31@rediffmail.com,M,AADHAR-3477-7618-1670,2000-03-21,DL-2556861198,Self,1,MEM-10703
DRV-10008,CLM-00009,Bhanumati,Dev,Goyal,Bhanumati Goyal,98277768088,bhanumati57@rediffmail.com,F,UID-657539759690,1970-07-02,DL-8671167115,Self,1,MEM-12516
DRV-10009,CLM-00010,Vritti,Pavani,Basu,Vritti Basu,99551525800,vritti99@yahoo.com,M,AADHAR-3444-5864-1442,1956-06-09,DL-6805697094,Spouse,0,
DRV-10010,CLM-00011,Bhavika,Vasana,Rana,Bhavika Rana,97974224294,bhavika68@rediffmail.com,F,UID-974715169380,1979-11-11,DL-5424115307,Son,0,
DRV-10011,CLM-00012,Azaan,,Manne,Azaan Manne,97341794231,azaan76@hotmail.com,M,AADHAR-4657-1644-6167,1994-12-24,DL-6361011131,Self,1,MEM-10307
DRV-10012,CLM-00013,Eta,Maanas,Pillai,Eta Pillai,97872577893,eta48@outlook.co.in,M,AADHAR-4161-9812-7749,1957-11-30,DL-2787984460,Daughter,0,
DRV-10013,CLM-00014,Hiral,Rohan,Salvi,Hiral Salvi,98639082156,hiral71@hotmail.com,F,AADHAR-8812-9012-3504,1960-07-02,DL-4500511646,Paid Driver,0,
DRV-10014,CLM-00015,Bimala,Hemang,Bala,Bimala Bala,97899622581,bimala84@rediffmail.com,M,AADHAR-8515-8791-4475,1996-02-19,DL-7533379989,Son,0,
DRV-10015,CLM-00016,Pahal,Ojas,Basu,Pahal Basu,98252344289,pahal68@live.com,F,VOTER-E469478,2007-03-11,DL-7194559012,Self,1,MEM-12495
DRV-10016,CLM-00017,Amara,,Mann,Amara Mann,98254475931,amara62@hotmail.com,F,AADHAR-7622-5722-1013,1997-06-30,DL-5196630055,Self,1,MEM-12000
DRV-10017,CLM-00018,Varenya,Triya,Nagarajan,Varenya Nagarajan,99834156048,varenya37@outlook.co.in,M,UID-916116086009,1991-09-17,DL-7199829336,Relative,0,
DRV-10018,CLM-00019,Ekanta,,Raj,Ekanta Raj,98033443695,ekanta25@rediffmail.com,M,UID-469637304292,1984-05-14,DL-9459742364,Friend,0,
DRV-10019,CLM-00020,Nirja,Pushti,Srivastava,Nirja Srivastava,98754132959,nirja41@yahoo.com,M,VOTER-A972977,1967-06-12,DL-4639897261,Friend,0,
DRV-10020,CLM-00021,Harsh,,Mallick,Harsh Mallick,99593042477,harsh77@yahoo.com,M,VOTER-A139777,1971-02-23,DL-6173723832,Self,1,MEM-11415
DRV-10021,CLM-00022,Qadim,Ira,Kata,Qadim Kata,97986366211,qadim62@rediffmail.com,M,UID-740191546049,1975-10-07,DL-8363619544,Self,1,MEM-12842
DRV-10022,CLM-00023,Meera,Garima,Sampath,Meera Sampath,99052976732,meera32@outlook.co.in,F,AADHAR-6201-4622-2644,1997-04-19,DL-5842450080,Paid Driver,0,
DRV-10023,CLM-00024,Bhavya,Warda,Goswami,Bhavya Goswami,99627918348,bhavya85@rediffmail.com,F,VOTER-B702190,1986-09-25,DL-7883484239,Self,1,MEM-10823
DRV-10024,CLM-00025,Ekta,Udant,Krishnamurthy,Ekta Krishnamurthy,99018631245,ekta51@outlook.co.in,M,UID-185780887710,1998-04-26,DL-1921256832,Paid Driver,0,
DRV-10025,CLM-00026,Odika,Wahab,Mohan,Odika Mohan,99924933688,odika12@yahoo.com,F,AADHAR-8526-5769-9963,2002-05-09,DL-2146597653,Relative,0,
DRV-10026,CLM-00027,Hamsini,Jeet,Chawla,Hamsini Chawla,99641553527,hamsini63@gmail.com,M,UID-747606733677,1958-08-02,DL-5610431688,Paid Driver,0,
