garage_id,garage_name,garage_gst_number,garage_pan_number,garage_contact_email,garage_contact_phone,garage_proprietor_name,garage_street_address,garage_city,garage_state,garage_pincode,garage_latitude,garage_longitude,garage_network_type,garage_contract_start_date,garage_oem_accreditation_flag,garage_num_bays,garage_total_sqft_area,garage_warranty_period_months,garage_repair_hour_rate_od,garage_last_audit_date,garage_audit_result_code,garage_legal_action_flag
GAR-100,Sahni Car Services,28VGH98456M0IR,YYASY4814N,sahni70@yahoo.com,97017700005,Madhav Bose,H.No. 44- Sridhar Nagar,Bangalore,Karnataka,571900,12.987561,77.575027,Network,2019-06-10,1,5,7110,12,634.41,2025-02-07,A,0
GAR-101,Malhotra Car Workshop,22FFY17946Y4ZN,OOXWW3959P,malhotra69@gmail.com,98064101406,Advik Som,H.No. 252 Sangha Path,Bangalore,Karnataka,562466,12.958093,77.657069,Network,2017-11-07,0,20,3599,12,752.13,2025-04-27,B,0
GAR-102,Narasimhan Garage,49ERY53863H7KS,SDPGP2707L,narasimhan17@live.com,97895109819,Dipta Menon,20- Dara Nagar,Chennai,Tamil Nadu,616600,12.962126,80.234474,Network,2018-07-03,1,20,3560,6,565.96,2024-12-05,B,0
GAR-103,Johal Car Services,62CTB30807N1XQ,TWHIR0537D,johal31@yahoo.com,99987074850,Baghyawati Suri,762 Goyal Path,Pune,Maharashtra,489423,18.479868,73.881077,Network,2023-08-29,0,10,8073,3,614.66,2025-01-20,B,0
GAR-104,Bhargava Garages,87PAO16899T0PM,JHZHV0784A,bhargava63@live.com,99123760266,Dalaja Ranganathan,197- Patla Chowk,Nagpur,Maharashtra,416729,20.850527,72.476832,Network,2019-10-09,0,15,2068,6,427.85,2024-11-22,B,0
GAR-105,Parekh Garage,20ZMC55401A9SI,FSVCP3563Z,parekh84@gmail.com,98556735636,Hamsini Wali,H.No. 00 Sarin Path,Noida,Delhi,110054,28.60317,77.468386,Network,2022-07-27,1,19,4034,3,481.08,2025-02-26,C,0
GAR-106,Mani Auto Works and Services,19CGK90152C4GH,MNTGL5116H,mani79@yahoo.com,98970966050,Jagrati Mann,05- Doctor Circle,Chennai,Tamil Nadu,621471,13.056574,80.263955,Network,2017-03-02,0,8,2283,12,791.44,2025-04-09,A,0
GAR-107,Mand Car Workshop,32PRP61735B6IG,OMRIZ4698N,mand26@hotmail.com,98942187177,Harshil Patil,37- Raman Road,Mumbai,Maharashtra,423748,18.983378,72.814255,Network,2021-08-24,0,11,5098,6,358.31,2025-03-12,B,0
GAR-108,Pathak Car Workshop,90XIX29515C4MT,FXYKQ7781E,pathak30@yahoo.com,97680514313,Gautam Chaudhry,428 Sami Street,Madurai,Tamil Nadu,636215,28.727728,76.901587,Network,2016-12-23,0,20,9358,3,733.83,2024-12-20,B,0
GAR-109,Bhat Garages,97ADG42658F2JL,SMWTY9131N,bhat96@outlook.co.in,99192105219,Abha Bhatti,46/08 Borde Road,New Delhi,Delhi,110002,28.661194,77.183323,Network,2019-03-25,0,13,2265,12,675.96,2024-11-22,B,0
GAR-110,Kala Auto Works and Services,50EQY53561L6HP,WALSC5148E,kala34@gmail.com,98664465080,Zayyan Sibal,H.No. 017- Shah Ganj,New Delhi,Delhi,110042,28.526246,77.164644,Non-Network,2019-11-22,1,15,4524,12,624.41,2024-12-20,B,0
GAR-111,Chacko Auto Works and Services,96RQS72500D9HX,EIHSH1122O,chacko71@rediffmail.com,97812555583,Anjali Vohra,089 Desai,Bangalore,Karnataka,570882,12.958725,77.593717,Non-Network,2024-02-19,0,8,5696,12,458.63,2025-09-02,B,0
GAR-112,Loyal Auto Works and Services,16UXL79598X8NK,DMIMG6964U,loyal47@rediffmail.com,99566841492,Lavanya Panchal,31 Tank Ganj,Bangalore,Karnataka,577049,12.811035,77.677656,Network,2016-09-22,1,14,1087,6,558.88,2025-03-07,B,0
GAR-113,Sahota Car Workshop,42CLY77623M0YT,BOVSV9869A,sahota66@rediffmail.com,98261654572,Adweta Khurana,03/257 Lal Marg,Pune,Maharashtra,438581,18.593984,73.859251,Non-Network,2018-10-25,1,19,9085,12,487.93,2025-09-29,A,0
GAR-114,Sama Car Services,18EAX14426F7CX,MCDPH8156C,sama15@outlook.co.in,97651057576,Abhiram Choudhry,H.No. 84 Mand Zila,Chennai,Tamil Nadu,606108,13.043382,80.293065,Network,2022-06-03,0,13,759,12,358.55,2025-03-20,A,0
