member_id,mem_type,mem_first_name,mem_middle_name,mem_last_name,mem_full_name,mem_dob,mem_dod,mem_gender,mem_marital_status,mem_nationality,mem_gov_id,mem_citizenship_status,mem_occupation,mem_educational_qualification,mem_acc_no,mem_permanent_address_line1,mem_permanent_address_line2,mem_permanent_city,mem_permanent_landmark,mem_permanent_state,mem_permanent_country,mem_permanent_pin_code,mem_communication_address_line1,mem_communication_address_line2,mem_communication_city,mem_communication_landmark,mem_communication_state,mem_communication_country,mem_communication_pin_code,mem_telephone_type_1,mem_telephone_number_1,mem_telephone_type_2,mem_telephone_number_2,mem_email_1,mem_email_2,mem_update_date,RUN_TIME_DATE,CUT_OFF_DATE,POL_ACTV_CNT_YR_1,POL_ACTV_CNT_YR_2,POL_ACTV_CNT_YR_3,POL_REN_CNT_YR_1,POL_REN_CNT_YR_2,POL_REN_CNT_YR_3,POL_NB_CNT_YR_1,POL_NB_CNT_YR_2,POL_NB_CNT_YR_3,SUM_INSURED_YR_1,SUM_INSURED_YR_2,SUM_INSURED_YR_3,PREMIUM_AMT_YR_1,PREMIUM_AMT_YR_2,PREMIUM_AMT_YR_3,CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,CLAIM_CASHLESS_CNT_YR_1,CLAIM_CASHLESS_CNT_YR_2,CLAIM_CASHLESS_CNT_YR_3,CLAIM_REIM_CNT_YR_1,CLAIM_REIM_CNT_YR_2,CLAIM_REIM_CNT_YR_3,CLAIM_AMT_YR_1,CLAIM_AMT_YR_2,CLAIM_AMT_YR_3,APPR_AMT_YR_1,APPR_AMT_YR_2,APPR_AMT_YR_3
MEM-10000,I,William,Odika,Agrawal,William Agrawal,1987-07-12,,M,Divorced,Indian,AADHAR-8208-5230-3917,Resident,Business,SSC,ACC_877972921380,17/756 Kapadia Street,Dube Zila,Bhatpara,Opposite Park,Haryana,India,232343,87/88- Dara Zila,Saraf Street,Bikaner,,Odisha,India,400768,Mobile,98958741001,Office,99836067171.0,william25@live.com,,2025-05-30,2025-10-27,2025-10-27,1,0,0,1,0,0,0,0,0,568247.55,0.0,0.0,6107.45,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10001,I,Nitesh,Vamakshi,Dutt,Nitesh Dutt,1974-03-05,,M,Widowed,Indian,VOTER-A988726,NRI,Retired,GRADUATE,ACC_023683245893,11- Krishna Street,Bajaj Zila,Begusarai,Near Metro Station,Andhra Pradesh,India,144760,26/80 Dey Marg,Thakkar Marg,Junagadh,Near School,Haryana,India,992507,Mobile,97139011953,Home,97997595708.0,nitesh26@yahoo.com,,2025-08-09,2025-10-27,2025-10-27,1,0,0,1,0,0,0,0,0,378683.78,0.0,0.0,15164.37,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10002,B,Bahadurjit,Januja,Sama,Bahadurjit Sama,1993-02-11,,M,Married,Indian,UID-848704822777,Resident,Business,UNKNOWN,ACC_222654672578,43/46- Mukhopadhyay Road,Sood Street,Sikar,Near Metro Station,Tripura,India,552463,27/72- Seth Marg,Bose Path,Sri Ganganagar,,Telangana,India,622929,Mobile,97318248634,Home,97687750016.0,bahadurjit79@gmail.com,,2025-04-15,2025-10-27,2025-10-27,1,1,0,1,0,0,0,1,0,793270.05,312455.67,0.0,18479.9,7113.47,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10003,I,Yashica,,Balakrishnan,Yashica Balakrishnan,1963-10-28,,F,Widowed,Indian,AADHAR-1292-4531-2123,Resident,Retired,HSC,ACC_762361191905,778 Badami,Munshi Chowk,Phusro,Near Metro Station,Uttar Pradesh,India,200832,55 Srinivas Circle,Palla,Bidar,Next to Bank,Jharkhand,India,687826,Mobile,98157702644,Home,97791350455.0,yashica38@rediffmail.com,,2025-03-25,2025-10-27,2025-10-27,2,0,0,2,0,0,2,0,0,842307.33,0.0,0.0,22571.29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10004,I,Naveen,,Dara,Naveen Dara,1970-04-02,,M,Single,Indian,VOTER-E532496,Resident,Retired,GRADUATE,ACC_642663746007,H.No. 054- Bhagat Road,Mane,Kamarhati,,Assam,India,920547,H.No. 232- Jain Ganj,Swamy Road,Ichalkaranji,Near School,Telangana,India,262789,Mobile,98653316067,Office,99814835467.0,naveen72@outlook.co.in,,2025-03-26,2025-10-27,2025-10-27,1,2,0,1,0,0,0,1,0,441008.63,1704979.37,0.0,5588.52,13743.490000000002,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10005,I,Darpan,Pushti,Ranganathan,Darpan Ranganathan,1975-09-08,,M,Widowed,Indian,VOTER-A567830,Resident,Retired,SSC,ACC_828879388980,829- Bal Path,Sibal Zila,Aurangabad,,Goa,India,695954,478- Cherian Street,Grewal,Salem,Behind Mall,Chhattisgarh,India,311037,Mobile,98925069604,Office,98915004978.0,darpan81@yahoo.com,,2025-10-03,2025-10-27,2025-10-27,1,0,0,1,0,0,1,0,0,435642.76,0.0,0.0,10785.1,0.0,0.0,3,0,0,2,0,0,1,0,0,130721.30999999998,0.0,0.0,126014.83,0.0,0.0
MEM-10006,I,Jeevika,Ekanta,Bansal,Jeevika Bansal,2004-02-06,,F,Widowed,Indian,UID-350823376990,Foreigner,Salaried,GRADUATE,ACC_270769136717,H.No. 86- Thakkar Ganj,Kakar Chowk,Ambattur,Opposite Park,Himachal Pradesh,India,412534,H.No. 64 Bumb Zila,Bali Marg,Ahmedabad,,Uttarakhand,India,230255,Mobile,99310980783,Office,99738092615.0,jeevika26@gmail.com,,2025-01-09,2025-10-27,2025-10-27,1,0,0,1,0,0,0,0,0,309874.54,0.0,0.0,6694.99,0.0,0.0,1,0,0,1,0,0,0,0,0,58952.25,0.0,0.0,55557.15,0.0,0.0
MEM-10007,I,Vrishti,Yahvi,Jani,Vrishti Jani,1980-10-23,,F,Divorced,Indian,UID-636086929867,Resident,Salaried,GRADUATE,ACC_800929856792,H.No. 26 Pillai Marg,Wagle Circle,Pimpri-Chinchwad,Near Metro Station,Madhya Pradesh,India,888518,H.No. 520 Tak Marg,Ben Chowk,Tiruchirappalli,Behind Mall,Karnataka,India,161445,Mobile,98319014360,Office,,vrishti66@live.com,,2025-08-31,2025-10-27,2025-10-27,0,1,0,0,0,0,0,1,0,0.0,241525.93,0.0,0.0,9707.92,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10008,I,Mason,Rajata,Sachar,Mason Sachar,1995-07-28,,M,Unknown,Indian,UID-239476049574,Resident,Business,SSC,ACC_449589697964,493- Narain Chowk,Chanda Zila,Ajmer,Next to Temple,Uttar Pradesh,India,121477,H.No. 68 Bhatt Nagar,Shan Circle,Jammu,Near School,Odisha,India,384229,Mobile,97728144221,Home,,mason26@live.com,,2025-02-05,2025-10-27,2025-10-27,0,1,0,0,0,0,0,0,0,0.0,995502.25,0.0,0.0,2017.88,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10009,I,Mugdha,Omaja,Issac,Mugdha Issac,1978-03-31,,F,Married,Indian,UID-898688426694,Resident,Business,UNKNOWN,ACC_801391552929,H.No. 187- Dyal Path,Kara Marg,Bhind,Near Metro Station,Gujarat,India,710410,82 Thaman Path,Grover,Solapur,Near School,Assam,India,496959,Mobile,99755775030,Office,97903872540.0,mugdha65@outlook.co.in,,2025-02-28,2025-10-27,2025-10-27,1,1,0,1,0,0,1,0,0,484400.01,486171.27,0.0,20260.05,26185.39,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
