surveyor_id,surveyor_name,surveyor_gender,surveyor_dob,surveyor_gov_id,surveyor_irdai_license_no,surveyor_license_issue_date,surveyor_license_expiry_date,surveyor_date_onboarded,surveyor_designation,surveyor_mobile,surveyor_email_id,surveyor_addr_line_1,surveyor_addr_line_2,surveyor_operating_city,surveyor_state,surveyor_operating_pincode,surveyor_is_internal_staff_flag,surveyor_conflict_of_interest_flag,surveyor_date_last_training,surveyor_total_experience_yrs,surveyor_language,surveyor_service_area_type,surveyor_account_no,RUN_TIME_DATE,CUT_OFF_DATE,CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,TOTAL_CLAIM_CNT,CLAIM_AMT_YR_1,CLAIM_AMT_YR_2,CLAIM_AMT_YR_3,APPROVED_AMT_YR_1,APPROVED_AMT_YR_2,APPROVED_AMT_YR_3,CLAIM_APPR_CNT_YR_1,CLAIM_APPR_CNT_YR_2,CLAIM_APPR_CNT_YR_3,CLAIM_BELOW_EXCESS_CNT_YR_1,CLAIM_BELOW_EXCESS_CNT_YR_2,CLAIM_BELOW_EXCESS_CNT_YR_3,AVG_CLAIM_AMT_YR_1,AVG_CLAIM_AMT_YR_2,AVG_CLAIM_AMT_YR_3,UNIQUE_GARAGES_CNT_YR_1,SURV_TOP_GARAGE_CLAIM_CNT_LAST01Y,SURV_GARAGE_CONCENTRATION_RATIO01Y
SUR-10,Amrita Gala,F,1974-11-06,UID-283844520457,IRDAI/SUR/93670,2018-07-10,2023-07-09,2018-07-10,Category A,97676008490,amrita138@yahoo.com,20/76- Bava Marg,Pingle Nagar,Nagpur,Maharashtra,462767,0,1,2025-02-18,10,Hindi/Marathi,Town,ACC_455306385729,2025-10-31,2025-10-31,52,2,0,54,3718924.4805423277,127604.98620518643,0.0,2088924.449722629,118428.71324269555,0.0,46,2,0,2,0,0,71517.77847196785,63802.49310259322,0.0,39,3,0.057692307692307696
SUR-11,Tanmayi Raval,F,1996-12-25,VOTER-E745507,IRDAI/SUR/29650,2021-04-09,2026-04-08,2021-04-09,Category A,99915149539,tanmayi74@outlook.co.in,64- Mannan Ganj,Tank,Pune,Maharashtra,462558,0,0,2025-09-22,10,English/Marathi,Rural,ACC_387076836230,2025-10-31,2025-10-31,65,3,0,68,4018145.2817388894,102341.51573264823,0.0,2947515.8892608737,92365.75165077925,0.0,50,2,0,1,0,0,61817.61971905984,34113.83857754941,0.0,43,4,0.06153846153846154
SUR-12,Rachita Tak,F,1995-03-23,VOTER-C813526,IRDAI/SUR/65827,2024-05-16,2029-05-15,2024-05-16,Category A,97698571699,rachita125@gmail.com,33 Biswas Ganj,Dora Street,New Delhi,Delhi,110071,0,0,2025-05-04,6,Hindi/English,Rural,ACC_590214299146,2025-10-31,2025-10-31,56,3,0,59,5175360.577340892,155497.77,0.0,2478117.3322076444,139743.88999999998,0.0,40,2,0,0,0,0,92417.15316680164,51832.59,0.0,41,3,0.05357142857142857
SUR-13,Lakshit Nair,M,1997-01-01,AADHAR-1811-4425-7070,IRDAI/SUR/54791,2016-01-11,2021-01-09,2016-01-11,Category B,97656055732,lakshit81@outlook.co.in,84 Chaudhari Ganj,Kapadia Chowk,Nagpur,Maharashtra,406869,1,0,2025-01-05,18,English/Marathi,Town,ACC_575286783395,2025-10-31,2025-10-31,56,1,0,57,2707684.3750802753,3829.79,0.0,2570609.9111288055,3370.22,0.0,47,1,0,0,1,0,48351.50669786206,3829.79,0.0,43,4,0.07142857142857142
SUR-14,Manya Ratti,F,1996-07-28,AADHAR-2306-4952-4071,IRDAI/SUR/53106,2016-02-16,2021-02-14,2016-02-16,Category A,97702359280,manya136@outlook.co.in,H.No. 12 Kala Chowk,Pathak Zila,Madurai,Tamil Nadu,662574,0,0,2025-03-10,9,Tamil/English,Rural,ACC_712137299678,2025-10-31,2025-10-31,50,3,0,53,4404335.55889498,516858.77,0.0,2183395.090956118,199357.74,0.0,37,3,0,3,0,0,88086.71117789959,172286.25666666668,0.0,43,2,0.04
SUR-15,Saksham Sarkar,M,1982-04-15,AADHAR-9863-8688-6866,IRDAI/SUR/70383,2024-04-16,2029-04-15,2024-04-16,Category A,97797873869,saksham111@yahoo.com,H.No. 94 Sule Circle,Varma Path,Bangalore,Karnataka,563321,0,0,2025-02-01,2,Hindi/English,Town,ACC_220467520492,2025-10-31,2025-10-31,54,1,0,55,4694107.75110381,14081.97,0.0,2427943.3993644775,12493.52,0.0,40,0,0,0,0,0,86927.92131673722,14081.97,0.0,44,2,0.037037037037037035
SUR-16,Ijaya Dhingra,F,1983-11-02,UID-874298965618,IRDAI/SUR/98835,2021-09-10,2026-09-09,2021-09-10,Category A,99300919973,ijaya32@hotmail.com,543- Behl Chowk,Vala Ganj,Mumbai,Maharashtra,474086,0,0,2025-08-06,13,English/Marathi,Town,ACC_574442550172,2025-10-31,2025-10-31,69,2,0,71,4305614.982747894,116394.59,0.0,2765646.522301455,105424.03,0.0,56,2,0,0,0,0,62400.217141273824,58197.295,0.0,54,3,0.043478260869565216
SUR-17,Rajeshri Pradhan,F,1990-03-24,UID-563420743926,IRDAI/SUR/75599,2019-09-21,2024-09-19,2019-09-21,Category B,99402219556,rajeshri104@rediffmail.com,52- Kari Nagar,Hans Street,Noida,Delhi,110082,0,0,2025-04-09,14,Tamil/English,Town,ACC_743877439685,2025-10-31,2025-10-31,46,3,0,49,2412266.197196297,162805.15,0.0,1891740.5196341313,150983.86,0.0,35,2,0,1,0,0,52440.569504267325,54268.38333333333,0.0,39,3,0.06521739130434782
SUR-18,Raghav Bassi,M,1977-02-03,AADHAR-2209-8458-5097,IRDAI/SUR/48858,2022-09-07,2027-09-06,2022-09-07,Category A,97794050152,raghav71@rediffmail.com,H.No. 999 Khosla Street,Rastogi Circle,Kolkata,West Bengal,796239,0,0,2025-10-01,7,English/Marathi,Rural,ACC_251136643138,2025-10-31,2025-10-31,52,5,0,57,4058113.113820097,198900.19840845364,0.0,2536109.297076228,189825.7086004439,0.0,40,4,0,0,0,0,78040.63680423264,39780.03968169073,0.0,41,2,0.038461538461538464
SUR-19,Jonathan Ramaswamy,M,1983-01-30,AADHAR-4368-2419-2755,IRDAI/SUR/53342,2024-02-27,2029-02-25,2024-02-27,Final Surveyor,98908585774,jonathan128@gmail.com,81/369 Kohli Road,Sood,Kolkata,West Bengal,731775,1,0,2024-11-11,20,English/Marathi,Rural,ACC_899835515244,2025-10-31,2025-10-31,47,1,0,48,3326598.519999999,15131.65,0.0,2270210.0399999996,12837.0,0.0,40,1,0,0,0,0,70778.6919148936,15131.65,0.0,34,4,0.0851063829787234
