witness_id,claim_id,witness_first_name,witness_middle_name,witness_last_name,witness_full_name,witness_mobile,witness_email,witness_gender,witness_dob,witness_gov_id,member_id
WIT-10000,CLM-00772,Arunima,,Tak,Arunima Tak,98434214060,arunima70@hotmail.com,F,1978-11-26,VOTER-C915703,
WIT-10001,CLM-00772,Devansh,,Mander,Devansh Mander,98560806345,devansh72@gmail.com,M,2002-06-01,VOTER-C272231,
WIT-10002,CLM-02354,Guneet,,Mani,Guneet Mani,97767284706,guneet68@hotmail.com,M,2004-03-11,VOTER-B234722,
WIT-10003,CLM-02354,Xalak,,Kale,Xalak Kale,97507831248,xalak29@outlook.co.in,F,1978-09-23,UID-160273640699,
WIT-10004,CLM-02354,Zayan,,Borde,Zayan Borde,97211892546,zayan98@outlook.co.in,M,1984-05-29,AADHAR-2084-3945-1513,
WIT-10005,CLM-01675,Om,,Tak,Om Tak,98560246673,om27@rediffmail.com,M,1973-06-30,UID-320246545804,
WIT-10006,CLM-00941,Xalak,,Kumer,Xalak Kumer,98713357567,xalak79@hotmail.com,F,1956-02-11,AADHAR-1682-3009-5586,
WIT-10007,CLM-00941,Maanas,,Nair,Maanas Nair,98749800476,maanas44@live.com,M,1981-12-13,UID-735799678032,
WIT-10008,CLM-02155,Chaman,,Khosla,Chaman Khosla,99751347028,chaman65@hotmail.com,F,1976-07-04,VOTER-C458588,
WIT-10009,CLM-02155,Jagdish,,Andra,Jagdish Andra,98275234348,jagdish27@outlook.co.in,M,1967-08-08,VOTER-B359273,
WIT-10010,CLM-02155,Raksha,,Suresh,Raksha Suresh,97612853248,raksha92@live.com,F,1950-07-18,AADHAR-1576-4654-5627,
WIT-10011,CLM-00169,Warhi,,Gopal,Warhi Gopal,98988906921,warhi15@live.com,F,1968-12-30,VOTER-E805270,
WIT-10012,CLM-00169,Vritti,,Barad,Vritti Barad,97858185548,vritti70@rediffmail.com,F,2004-03-04,UID-214297609565,
WIT-10013,CLM-01642,Ranbir,,Mahajan,Ranbir Mahajan,98839913568,ranbir55@live.com,M,1998-07-30,UID-868230935262,
WIT-10014,CLM-01642,Ranveer,,Basak,Ranveer Basak,97710771430,ranveer21@gmail.com,M,1963-01-10,AADHAR-4265-9203-9483,
WIT-10015,CLM-02255,Devika,,Patla,Devika Patla,97559310148,devika93@gmail.com,F,1982-08-11,VOTER-D721649,
WIT-10016,CLM-01431,Timothy,,Tandon,Timothy Tandon,99393527532,timothy91@outlook.co.in,M,1959-04-13,AADHAR-3435-2574-7203,
WIT-10017,CLM-01431,Gabriel,,Chowdhury,Gabriel Chowdhury,99309518255,gabriel61@outlook.co.in,M,1953-01-15,UID-872493691887,
